State,District,Population,Male_Population,Female_Population,Literacy_Rate,Area_sq_km,Population_Density,Sex_Ratio,Urban_Population,Data_Type,Reference_Year
Uttarakhand,UK_District_07,37879,19293,18586,83.12,4328,8.75,963,15127,Synthetic / Simulated,2025
Uttarakhand,UK_District_08,39939,20083,19856,85.75,3209,12.45,989,13223,Synthetic / Simulated,2025
Uttarakhand,UK_District_09,57652,29660,27992,80.66,4219,13.66,944,23596,Synthetic / Simulated,2025
Uttarakhand,UK_District_10,38086,19617,18469,85.45,3245,11.74,941,14075,Synthetic / Simulated,2025
Uttarakhand,UK_District_11,37307,19066,18241,79.82,5268,7.08,957,16339,Synthetic / Simulated,2025
Uttarakhand,UK_District_12,51589,26632,24957,85.33,2735,18.86,937,17305,Synthetic / Simulated,2025
Uttarakhand,UK_District_13,74706,38314,36392,81.35,1133,65.94,950,32603,Synthetic / Simulated,2025
Uttarakhand,UK_District_14,49839,25189,24650,83.95,1910,26.09,979,18695,Synthetic / Simulated,2025
Uttarakhand,UK_District_15,79500,40675,38825,79.64,4812,16.52,955,28398,Synthetic / Simulated,2025
Uttarakhand,UK_District_16,75290,38758,36532,80.62,5244,14.36,943,26594,Synthetic / Simulated,2025
Uttarakhand,UK_District_17,46273,23466,22807,79.8,5197,8.9,972,19972,Synthetic / Simulated,2025
Uttarakhand,UK_District_18,46569,23332,23237,82.97,2290,20.34,996,19823,Synthetic / Simulated,2025
Uttarakhand,UK_District_19,83304,43122,40182,83.25,4609,18.07,932,27297,Synthetic / Simulated,2025
Uttarakhand,UK_District_20,75703,38667,37036,82.71,3187,23.75,958,30056,Synthetic / Simulated,2025
West Bengal,WB_District_01,95003,48584,46419,81.89,427,222.49,955,46205,Synthetic / Simulated,2025
West Bengal,WB_District_02,48309,24808,23501,82.7,474,101.92,947,18352,Synthetic / Simulated,2025
West Bengal,WB_District_03,58296,29676,28620,81.84,521,111.89,964,24110,Synthetic / Simulated,2025
West Bengal,WB_District_04,105642,53445,52197,84.91,568,185.99,977,45842,Synthetic / Simulated,2025
West Bengal,WB_District_05,93066,48287,44779,81.23,615,151.33,927,47049,Synthetic / Simulated,2025
West Bengal,WB_District_06,81602,41239,40363,83.9,662,123.27,979,40957,Synthetic / Simulated,2025
West Bengal,WB_District_07,92313,47026,45287,82.66,709,130.2,963,46603,Synthetic / Simulated,2025
West Bengal,WB_District_08,66392,33636,32756,84.12,756,87.82,974,31876,Synthetic / Simulated,2025
West Bengal,WB_District_09,113585,57360,56225,82.26,803,141.45,980,50512,Synthetic / Simulated,2025
West Bengal,WB_District_10,83235,42753,40482,83.94,850,97.92,947,31719,Synthetic / Simulated,2025
West Bengal,WB_District_11,57828,29670,28158,84.33,897,64.47,949,26562,Synthetic / Simulated,2025
West Bengal,WB_District_12,103497,53146,50351,83.29,944,109.64,947,52322,Synthetic / Simulated,2025
West Bengal,WB_District_13,73007,36791,36216,80.2,991,73.67,984,31913,Synthetic / Simulated,2025
West Bengal,WB_District_14,86343,44389,41954,82.26,1038,83.18,945,32953,Synthetic / Simulated,2025
West Bengal,WB_District_15,91742,46198,45544,85.75,1085,84.55,986,41748,Synthetic / Simulated,2025
West Bengal,WB_District_16,119299,59986,59313,82.15,1132,105.39,989,55909,Synthetic / Simulated,2025
West Bengal,WB_District_17,88169,44601,43568,81.55,1179,74.78,977,36243,Synthetic / Simulated,2025
West Bengal,WB_District_18,72322,36977,35345,80.8,1226,58.99,956,30554,Synthetic / Simulated,2025
West Bengal,WB_District_19,92178,46932,45246,79.78,1273,72.41,964,47227,Synthetic / Simulated,2025
West Bengal,WB_District_20,86720,44072,42648,84.05,1320,65.7,968,34781,Synthetic / Simulated,2025
Delhi,DL_District_01,80012,43812,36200,94.32,611,130.95,826,76567,Synthetic / Simulated,2025
Delhi,DL_District_02,35158,19079,16079,92.81,1518,23.16,843,31172,Synthetic / Simulated,2025
Delhi,DL_District_03,78826,42994,35832,93.55,1581,49.86,833,74570,Synthetic / Simulated,2025
Delhi,DL_District_04,81017,44111,36906,97.04,1211,66.9,837,69861,Synthetic / Simulated,2025
Delhi,DL_District_05,78765,43022,35743,93.97,1188,66.3,831,69669,Synthetic / Simulated,2025
Delhi,DL_District_06,47274,25677,21597,95.68,1592,29.69,841,44492,Synthetic / Simulated,2025
Delhi,DL_District_07,91245,48827,42418,98.2,1727,52.83,869,86460,Synthetic / Simulated,2025
Delhi,DL_District_08,70624,37815,32809,93.14,1120,63.06,868,67799,Synthetic / Simulated,2025
Delhi,DL_District_09,80526,43653,36873,97.05,1287,62.57,845,73286,Synthetic / Simulated,2025
Delhi,DL_District_10,105808,56858,48950,95.11,1476,71.69,861,101576,Synthetic / Simulated,2025
Delhi,DL_District_11,63153,34541,28612,97.02,1768,35.72,828,56672,Synthetic / Simulated,2025
Delhi,DL_District_12,76065,40625,35440,92.74,1971,38.59,872,64395,Synthetic / Simulated,2025
Delhi,DL_District_13,78916,42193,36723,96.43,1595,49.48,870,75759,Synthetic / Simulated,2025
Delhi,DL_District_14,76552,41526,35026,96.33,1625,47.11,843,70236,Synthetic / Simulated,2025
Delhi,DL_District_15,81507,43818,37689,97.96,1335,61.05,860,72289,Synthetic / Simulated,2025
Delhi,DL_District_16,81168,44209,36959,93.25,2375,34.18,836,74683,Synthetic / Simulated,2025
Delhi,DL_District_17,86345,46756,39589,95.35,2340,36.9,847,79977,Synthetic / Simulated,2025
Delhi,DL_District_18,63919,34560,29359,93.61,1555,41.11,850,58190,Synthetic / Simulated,2025
Delhi,DL_District_19,100860,53756,47104,98.2,1672,60.32,876,89853,Synthetic / Simulated,2025
Delhi,DL_District_20,79609,43067,36542,92.93,2035,39.12,848,73459,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_01,34076,17673,16403,81.05,4799,7.1,928,11816,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_02,44377,23090,21287,79.9,1756,25.27,922,12654,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_03,35134,18492,16642,75.42,2928,12,900,12978,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_04,54691,28267,26424,78.86,2101,26.03,935,13324,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_05,33150,17428,15722,80.16,2349,14.11,902,10262,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_06,37757,19583,18174,78.68,683,55.28,928,8834,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_07,30294,15562,14732,76.69,1727,17.54,947,6672,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_08,53905,28065,25840,79.14,1392,38.72,921,19290,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_09,58658,30073,28585,74.74,5089,11.53,951,17680,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_10,67550,34525,33025,74.99,3694,18.29,957,21687,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_11,73648,38924,34724,76.45,2596,28.37,892,25113,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_12,72330,37458,34872,79.29,1766,40.96,931,16720,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_13,70655,36958,33697,76.03,2638,26.78,912,16163,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_14,31565,16677,14888,79.67,2460,12.83,893,11123,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_15,46812,24203,22609,77.4,4046,11.57,934,11293,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_16,43513,22545,20968,78.77,2942,14.79,930,12824,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_17,61174,32357,28817,78.82,4164,14.69,891,19262,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_18,62740,32739,30001,77.74,2321,27.03,916,14769,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_19,53366,27284,26082,80.46,2604,20.49,956,15197,Synthetic / Simulated,2025
Jammu and Kashmir,JK_District_20,67476,35209,32267,80.78,5236,12.89,916,16847,Synthetic / Simulated,2025
